! にじさんじ
! ============
あいぞのまなみ	愛園愛美
はっさくゆず	八朔ゆず
はなばたけちゃいか	花畑チャイカ
はやせそう	早瀬走
はやままりん	葉山舞鈴
はるさきえある	春崎エアル
ひぐちかえで	樋口楓
ふしみがく	伏見ガク
ふみ	フミ
ふみのたまき	文野環
ふれんいーるすたりお	フレン・E・ルスタリオ
ふわみなと	不破湊
べるもんどばんでらす	ベルモンド・バンデラス
ほしかわさら	星川サラ
そらぼしきらめ	星空きらめ
ほんまひまわり	本間ひまわり
まいもとけいすけ	舞元啓介
まかいのりりむ	魔界ノりりむ
ましろ	ましろ
まちたちま	町田ちま
まつかいまお	魔使マオ
まゆずみかい	黛灰
めりっさきんれんか	メリッサ・キンレンカ
もいら	モイラ
もののべありす	物述有栖
もりなかかざき	森中花咲
やぐるまりね	矢車りね
やしゃのかみ	海夜叉神
やしろきずく	社築
やまがみかるた	山神カルタ
やみよのもるる	闇夜乃モルル
ゆうきちひろ	勇気ちひろ
ゆうひりり	夕陽リリ
ゆきしろましろ	雪城眞尋
ゆづきろあ	夢月ロア
ゆめおいかける	夢追翔
ゆやしん	Yuya Shin
ゆーどりっく	ユードリック
よるみれな	夜見れな
らとなぷてぃ	ラトナ・プティ
りぜへるえすた	リゼ・ヘルエスタ
りゅーしぇん	緑仙
りんどうみこと	竜胆尊
るいすきゃみー	ルイス・キャミー
れゔぃえりふぁ	レヴィ・エリファ
わらべだめいじー	童田明治
れいんどろっぷす	🎤Rain Drops

! ユメノグラフィア
!	==================
あおみかやな	蒼海カヤナ
あさぎりいづる	朝霧いづる
いちのもりこひな	苺ノ森こひな
かたくらひとみ	片倉一実
くれまはくぼ	暮間珀暮
くれやぺい	紅夜ぺい
こはなてくと	小花てくと
ころぼしまう	ころぼしまう
しのみやとうか	四ノ宮透華
はえとりかづら	蝿取かづら
はとおかここ	鳩岡小恋
ひじりぐれいる	聖グレイル
ひめるち	雛芽るち
ふでそめしき	筆染四季
ほうしょうてあ	宝生てあ
みかげみゆ	観影みゆ
みさごゆきまち	雎雪待
みなみあやね	南絢音
みーてぃあ	ミーティア
ゆめのぐらふぃあ	ユメノグラフィア
りいか	りいか
りくどうかろ	六道カロ
ろっどくろうりー	ロッド・クロウリー

! YouTuber・VTuber
!	=====================
ぶいちゅーばー	VTuber
ｖつべｒ	VTuber
あまつかりりえる	天使リリエル
いなばはねる	因幡はねる
いぬやまたまき	犬山たまき
いまさかはくの	今酒ハクノ
うたいめいか	歌衣メイカ
かもがみにゅう	鴨神にゅう
きずなあい	キズナアイ
きまぐれくっく	きまぐれクック
くいずのっく	QuizKnock
くすのきしお	楠栞桜
こかんせんしえむずーん	股間戦士エムズーン
さきのもこ	咲乃もこ
ざき	ザキ
すずきけんぞう	鈴木けんぞう
せんばくろの	千羽黒乃
てんかいつかさ	天開司
ほろらいぶ	ホロライブ
まーじゃんけいさつひろー	麻雀警察ひろー
みなとあくあ	湊あくあ
もこう	もこう

!	芸能人・有名人
!	================
あおいゆう	蒼井優
あさくらこうしん	🀄朝倉康心
うえはらあずみ	🎤上原あずみ
うる	🎤Uru
がーねっとくろう	🎤GARNET CROW
こまつみほ	🎤小松未歩
さいとうごう	🀄齋藤豪
つぼみ	つぼみ
とさかじゅん	登坂淳
ひらさわげんき	🀄平澤元気
やまざとりょうた	山里亮太
りずむ	🎤Rythem
みうらかずよし	三浦知良
はなざわかな	花澤香菜
すわべじゅんいち	諏訪部順一

!	漫画家・作家
!	==============
いとうらいふ	伊東ライフ
うえしばりいち	植芝理一
うめさおただお	梅棹忠夫
えのもとなりこ	榎本ナリコ
きとうもひろ	鬼頭莫宏
なかはらちゅうや	中原中也
ふんぼ	ふんぼ

!	アニメ・漫画
!	==============
あくせるわーるど	📽アクセル・ワールド
いせかいしょくどう	📽異世界食堂
えすぱーまみ	📽エスパー魔美
がっこうぐらし	📽がっこうぐらし！
がて	📽GATE
けむりくさ	📽ケムリクサ
げーと	📽GATE
このすばらしいせかいにしゅくふくを	📽この素晴らしい世界に祝福を
こばやしさんちのめいどらごん	📽小林さんちのメイドラゴン
しんせかいより	📽新世界より
じょうかまちのだんでらいおん	📽城下町のダンデライオン
すずみやはるひのゆううつ	📽涼宮ハルヒの憂鬱
ぜつえんのてんぺすと	📽絶園のテンペスト
そーどあーとおんらいん	📽ソードアート・オンライン
たてのゆうしゃのなりあがり	📽盾の勇者の成り上がり
てんせいしたらすらいむだったけん	📽転生したらスライムだった件
でみちゃんはかたりたい	📽亜人ちゃんは語りたい
へゔぃーおぶじぇくと	📽ヘヴィーオブジェクト
ほおづきのれいてつ	📽鬼灯の冷徹
ぼくらの	📽ぼくらの
まほうしょうじょいくせいけいかく	📽魔法少女育成計画
めいどいんあびす	📽メイドインアビス
もーれつぱいれーつ	📽モーレツ宇宙海賊
ようじょせんき	📽幼女戦記
らくだいきしのきゃばるりぃ	📽落第騎士の英雄譚
りぜろからはじめるいせかいせいかつ	📽Re：ゼロから始める異世界生活
ろぐほらいずん	📽ログ・ホライズン
ろっかのゆうしゃ	📽六花の勇者
ろみおのあおいそら	📽ロミオの青い空
しゅたいんずげーと	📽STEINS;GATE
しんちょうゆうしゃ	📽慎重勇者～この勇者が俺TUEEEくせに慎重すぎる～

!	ゲーム
!	-----------------
あぺｘ	🎮Apex Legends
えいぺっくす	🎮Apex Legends
あーく	🎮Ark
えいぺっくす	🎮Apex Legends
かんこれ	🎮艦これ
くらふとぴあ	🎮Craftopia
じゃんたま	🎮雀魂
せかいじゅのめいきゅう	🎮世界樹の迷宮
てんほう	🎮天鳳
ふぉーるがいず	🎮Fall Guys
ぽけっともんすたー	🎮ポケットモンスター
まーじゃん	🎮麻雀
かーどげーむ	🎮カードゲーム
がめ	🎮ゲーム
げーむ	🎮ゲーム
にこにこどうが	🌐ニコニコ動画

! 本のタイトル
!	-----------------
こんてなものがたり	📚コンテナ物語
ちてきせいさんのぎじゅつ	📚知的生産の技術

! 企業・サービス
!	----------------
きぎょう	🏙企業
いちからかぶしきがいしゃ	いちから株式会社
かばーかぶしきがいしゃ	カバー株式会社
あまぞんぷらいむ	🌐AmazonPrime
あまぷら	🌐AmazonPrime
ゆーちゅーぶ	🌐YouTube
ようつべ	🌐YouTube
ゆうつべ	🌐YouTube
ついったー	🌐Twitter

! 🔖 テーマ
! --------------------------------
しょせきのでんしか	🔖書籍の電子化
いーしーそうどう	🔖ec騒動
えｃそうどう	🔖ec騒動
いのちのかがやき	🔖いのちの輝き
ふりーじあたいきゅう	🔖フリージア耐久
きょうあにほうかさつじんじけん	🔖京都アニ放火殺人事件
きょうとあにめーしょん	🔖京都アニ放火殺人事件
ちてきせいさんのぎじゅつ	🔖知的生産の技術
かいてきにいえですごす	🔖快適に家で過ごす
にじさんじひゃっきやこう	🔖にじさんじ百鬼夜行
